Info, Time, Steps, Train accuracy, Loss, Validation accuracy, Train Folds, Final test accuracy,Tensorboard dir, Misclassified Images, Early Stopping Result
Date created: Tue Oct 10 15:22:17 SGT 2017

#################### Setting ######################

home_dir: /home/duclong002/
Jpeg_data_dir: /home/duclong002/Dataset/JPEG_data/
code_dir: /home/duclong002/FYP/image_retraining/
dataset_arr: PAP_smear_JPEG

learning_rate_arr:  0.1 0.03
how_many_training_steps: 10000
testing_percentage_arr: 20
train_batch_size_arr: 30 50 100
hidden_layer1_size_arr: 50 100
dropout_keep_prob_arr: 0.7 0.8
learning_rate_decay_arr: 0.33 0.5

################# End of Setting ##################

"[Namespace(architectures='', bottleneck_dir='/tmp/bottleneck', checkpoint_dir='/home/duclong002/checkpoints', csvlogfile='/home/duclong002/retrain_logs/logfile/log_10-10-15:22:17.csv', dropout_keep_prob=0.69999999, early_stopping_n_steps=5, eval_step_interval=100, final_tensor_name='final_result', flip_left_right=False, hidden_layer1_size=50, how_many_training_steps=10000, image_dir='/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/', intermediate_output_graphs_dir='/tmp/intermediate_graph/', intermediate_store_frequency=0, learning_rate=0.1, learning_rate_decay=0.33, model_dir='/home/duclong002/pretrained_model/', output_graph='/tmp/output_graph.pb', output_labels='/tmp/output_labels.txt', print_misclassified_test_images=True, random_brightness=0, random_crop=0, random_scale=0, summaries_dir='/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17', test_batch_size=-1, testing_percentage=20, train_batch_size=30, validation_batch_size=-1, validation_percentage=10), ['inception_resnet_v2']]"
,2017-10-10 15:23:07.720274,0,53.3333420753,0.692385,18.9473688602,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:09.888199,100,83.333337307,0.30672,85.7894778252,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:11.937447,200,96.6666698456,0.217189,82.1052670479,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:13.996835,300,96.6666698456,0.102809,91.0526335239,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:16.173137,400,86.6666674614,0.164678,90.5263185501,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:18.253617,500,86.6666734219,0.274858,89.473682642,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:20.501881,600,86.6666734219,0.178669,89.473682642,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:22.611011,700,100.0,0.0479247,92.1052694321,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:24.842175,800,96.6666698456,0.0968386,88.4210586548,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:27.083015,900,100.0,0.0264441,88.4210586548,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:29.265632,1000,100.0,0.0122966,88.4210586548,"['fold2', 'fold3', 'fold4']"
,2017-10-10 15:23:31.562755,1100,100.0,0.0117026,91.5789484978,"['fold2', 'fold3', 'fold4']"
,,,,,,,,,"The best result is at 700 steps:Train accuracy: 100.0, Validation accuracy: 92.1, Loss: 0.0479247"
